name,code,sort_order
Strathmore Institute of Mathematical Sciences,SIMS,0
Strathmore Law School,SLS,1
Strathmore University Business School,SUBS,2
School of Computing and Engineering Sciences,SCES,3
School of Tourism and Hospitality,STH,4
School of Humanities and Social Sciences,SHSS,5
Strathmore Institute of Technology,SIT,6
School of Accounting,SOA,7
